SampleID,populations
PH0587-C,Cambodia
PH0589-C,Cambodia
PH0591-C,Cambodia
PH0592-C_maj,Cambodia
PH0593-C,Cambodia
PH0596-C,Cambodia
PH0597-C,Cambodia
PH0598-C,Cambodia
PH0599-C,Cambodia
PH0600-C,Cambodia
PH0601-C,Cambodia
PH0602-C,Cambodia
PH0604-C,Cambodia
PH0605-C,Cambodia
PH0609-C,Cambodia
PH0610-C,Cambodia
PH0617-C,Cambodia
PH0619-C,Cambodia
PH0621-C,Cambodia
PH0623-C,Cambodia
PH0624-C,Cambodia
PH0625-C,Cambodia
PH0626-C,Cambodia
PH0630-C,Cambodia
PH0631-C_maj,Cambodia
PH0632-C,Cambodia
PH0633-C,Cambodia
PH0634-C_maj,Cambodia
PH0636-C,Cambodia
PH0638-C,Cambodia
PH0639-C,Cambodia
PH0640-C,Cambodia
PH0641-C_maj,Cambodia
PH0643-C_maj,Cambodia
PH0644-C_maj,Cambodia
PH0647-C,Cambodia
PH0648-C_maj,Cambodia
PH0650-C,Cambodia
PH0676-C,Cambodia
PH0677-C,Cambodia
PH0678-C,Cambodia
PH0679-C,Cambodia
PH0680-C,Cambodia
PH0682-C,Cambodia
PH0685-C,Cambodia
PH0686-C,Cambodia
PH0687-C,Cambodia
PH0692-C,Cambodia
PH0694-C_maj,Cambodia
PH0695-C,Cambodia
PH0696-C,Cambodia
PH0697-C,Cambodia
PH0700-C_maj,Cambodia
PH0701-C,Cambodia
PH0702-C,Cambodia
PH0703-C,Cambodia
PH0705-C_maj,Cambodia
PH0708-C_maj,Cambodia
PH0709-C,Cambodia
PH0712-C_maj,Cambodia
PH0715-C_maj,Cambodia
PH0716-C,Cambodia
PH0717-C_maj,Cambodia
PH0718-C_maj,Cambodia
PH0719-C,Cambodia
PH0722-C,Cambodia
PH0723-C,Cambodia
PH0728-C,Cambodia
PH0729-C_maj,Cambodia
PH0731-C,Cambodia
PH0732-C,Cambodia
PH0737-C_maj,Cambodia
PH0738-C,Cambodia
PH0739-C,Cambodia
PH0743-C,Cambodia
PH0746-C,Cambodia
PH0752-C,Cambodia
PH0753-Cx,Cambodia
PH0754-C,Cambodia
PH0755-C,Cambodia
PH0757-C,Cambodia
PH0758-C,Cambodia
PH0759-C,Cambodia
PH0760-C_maj,Cambodia
PH0761-C,Cambodia
PH0762-Cx,Cambodia
PH0765-C,Cambodia
PH0770-C,Cambodia
PH0772-C,Cambodia
