sample	country	site
PF0217-C	Ghana	Kassena

PF0218-C	Ghana	Kassena

PF0219-C	Ghana	Kassena

PF0221-C	Ghana	Kassena

PF0222-C	Ghana	Kassena

PF0223-C	Ghana	Kassena

PF0225-C	Ghana	Kassena

PF0226-C	Ghana	Kassena

PF0228-C	Ghana	Kassena

PF0229-C	Ghana	Kassena

PF0230-C	Ghana	Kassena

PF0231-C	Ghana	Kassena

PF0232-C	Ghana	Kassena

PF0233-C	Ghana	Kassena

PF0234-C	Ghana	Kassena

PF0235-C	Ghana	Kassena

PF0236-C	Ghana	Kassena

PF0238-C	Ghana	Kassena

PF0239-C	Ghana	Kassena

PF0240-C	Ghana	Kassena

PF0241-C	Ghana	Kassena

PF0242-C	Ghana	Kassena

PF0245-C	Ghana	Kassena

PF0246-C	Ghana	Kassena

PF0248-C	Ghana	Kassena

PF0249-C	Ghana	Kassena

PF0250-C	Ghana	Kassena

PF0252-C	Ghana	Kassena

PF0253-C	Ghana	Kassena

PF0254-C	Ghana	Kassena

PF0255-C	Ghana	Kassena

PF0256-C	Ghana	Kassena

PF0258-C	Ghana	Kassena

PF0259-C	Ghana	Kassena

PF0260-C	Ghana	Kassena

PF0261-C	Ghana	Kassena

PF0262-C	Ghana	Kassena

PF0263-C	Ghana	Kassena

PF0264-C	Ghana	Kassena

PF0265-C	Ghana	Kassena

PF0266-C	Ghana	Kassena

PF0267-C	Ghana	Kassena

PF0268-C	Ghana	Kassena

PF0269-C	Ghana	Kassena

PF0270-C	Ghana	Kassena

PF0272-C	Ghana	Kassena

PF0274-C	Ghana	Kassena

PF0275-C	Ghana	Kassena

PF0276-C	Ghana	Kassena

PF0277-C	Ghana	Kassena

PF0278-C	Ghana	Kassena

PF0279-C	Ghana	Kassena

PF0280-C	Ghana	Kassena

PF0281-C	Ghana	Kassena

PF0282-C	Ghana	Kassena

PF0283-C	Ghana	Kassena

PF0285-C	Ghana	Kassena

PF0286-C	Ghana	Kassena

PF0287-C	Ghana	Kassena

PF0288-C	Ghana	Kassena

PF0289-C	Ghana	Kassena

PF0290-C	Ghana	Kassena

PF0291-C	Ghana	Kassena

PF0294-C	Ghana	Kassena

PF0295-C	Ghana	Kassena

PF0298-C	Ghana	Kassena

PF0299-C	Ghana	Kassena

PF0301-C	Ghana	Kassena

PF0304-C	Ghana	Kassena

PF0305-C	Ghana	Kassena

PF0306-C	Ghana	Kassena

PF0308-C	Ghana	Kassena

PF0309-C	Ghana	Kassena

PF0310-C	Ghana	Kassena

PF0311-C	Ghana	Kassena

PF0312-C	Ghana	Kassena

PF0314-C	Ghana	Kassena

PF0318-C	Ghana	Kassena

PF0321-C	Ghana	Kassena

PF0323-C	Ghana	Kassena

PF0325-C	Ghana	Kassena

PF0326-C	Ghana	Kassena

PF0327-C	Ghana	Kassena

PF0328-C	Ghana	Kassena

PF0329-C	Ghana	Kassena

PF0330-C	Ghana	Kassena

PF0331-C	Ghana	Kassena

PF0332-C	Ghana	Kassena

PF0333-C	Ghana	Kassena

PF0334-C	Ghana	Kassena

PF0335-CW	Ghana	Kassena

PF0336-CW	Ghana	Kassena

PF0337-C	Ghana	Kassena

PF0338-C	Ghana	Kassena

PF0339-C	Ghana	Kassena

PF0340-C	Ghana	Kassena

PF0341-C	Ghana	Kassena

PF0342-C	Ghana	Kassena

PF0343-C	Ghana	Kassena

PF0344-C	Ghana	Kassena

PF0345-C	Ghana	Kassena

PF0346-C	Ghana	Kassena

PF0347-C	Ghana	Kassena

PF0349-C	Ghana	Kassena

PF0350-C	Ghana	Kassena

PF0351-C	Ghana	Kassena

PF0352-C	Ghana	Kassena

PF0353-C	Ghana	Kassena

PF0354-C	Ghana	Kassena

PF0355-C	Ghana	Kassena

PF0356-C	Ghana	Kassena

PF0357-C	Ghana	Kassena

PF0358-C	Ghana	Kassena

PF0359-C	Ghana	Kassena

PF0360-C	Ghana	Kassena

PF0361-C	Ghana	Kassena

PF0362-C	Ghana	Kassena

PF0363-C	Ghana	Kassena

PF0364-C	Ghana	Kassena

PF0365-C	Ghana	Kassena

PF0366-C	Ghana	Kassena

PF0367-C	Ghana	Kassena

PF0368-C	Ghana	Kassena

PF0369-C	Ghana	Kassena

PF0370-C	Ghana	Kassena

PF0371-C	Ghana	Kassena

PF0372-C	Ghana	Kassena

PF0373-C	Ghana	Kassena

PF0374-C	Ghana	Kassena

PF0375-C	Ghana	Kassena

PF0376-C	Ghana	Kassena

PF0377-C	Ghana	Kassena

PF0378-C	Ghana	Kassena

PF0380-C	Ghana	Kassena

PF0381-C	Ghana	Kassena

PF0383-C	Ghana	Kassena

PF0385-C	Ghana	Kassena

PF0386-C	Ghana	Kassena

PF0388-C	Ghana	Kassena

PF0389-C	Ghana	Kassena

PF0390-C	Ghana	Kassena

PF0392-C	Ghana	Kassena

PF0393-CW	Ghana	Kassena

PF0395-C	Ghana	Kassena

PF0396-C	Ghana	Kassena

PF0397-C	Ghana	Kassena

PF0398-C	Ghana	Kassena

PF0399-C	Ghana	Kassena

PF0400-C	Ghana	Kassena

PF0401-C	Ghana	Kassena

PF0404-C	Ghana	Kassena

PF0405-C	Ghana	Kassena

PF0406-C	Ghana	Kassena

PF0407-C	Ghana	Kassena

PF0408-C	Ghana	Kassena

PF0409-C	Ghana	Kassena

PF0410-CW	Ghana	Kassena

PF0411-C	Ghana	Kassena

PF0412-C	Ghana	Kassena

PF0413-C	Ghana	Kassena

PF0414-C	Ghana	Kassena

PF0415-C	Ghana	Kassena

PF0417-C	Ghana	Kassena

PF0418-C	Ghana	Kassena

PF0419-C	Ghana	Kassena

PF0421-C	Ghana	Kassena

PF0422-C	Ghana	Kassena

PF0423-C	Ghana	Kassena

PF0424-C	Ghana	Kassena

PF0425-C	Ghana	Kassena

PF0427-C	Ghana	Kassena

PF0428-CW	Ghana	Kassena

PF0430-C	Ghana	Kassena

PF0431-C	Ghana	Kassena

PF0432-C	Ghana	Kassena

PF0433-C	Ghana	Kassena

PF0434-C	Ghana	Kassena

PF0437-C	Ghana	Kassena

PF0438-CW	Ghana	Kassena

PF0439-C	Ghana	Kassena

PF0440-C	Ghana	Kassena

PF0441-CW	Ghana	Kassena

PF0442-C	Ghana	Kassena

PF0443-C	Ghana	Kassena

PF0444-CW	Ghana	Kassena

PF0445-C	Ghana	Kassena

PF0446-CW	Ghana	Kassena

PF0447-C	Ghana	Kassena

PF0448-C	Ghana	Kassena

PF0449-C	Ghana	Kassena

PF0450-C	Ghana	Kassena

PF0451-C	Ghana	Kassena

PF0452-C	Ghana	Kassena

PF0453-C	Ghana	Kassena

PF0454-C	Ghana	Kassena

PF0456-C	Ghana	Kassena

PF0458-C	Ghana	Kassena

PF0461-C	Ghana	Kassena

PF0463-C	Ghana	Kassena

PF0464-C	Ghana	Kassena

PF0465-C	Ghana	Kassena

PF0466-C	Ghana	Kassena

PF0467-C	Ghana	Kassena

PF0469-C	Ghana	Kassena

PF0471-C	Ghana	Kassena

PF0472-C	Ghana	Kassena

PF0473-C	Ghana	Kassena

PF0476-C	Ghana	Kassena

PF0477-C	Ghana	Kassena

PF0478-C	Ghana	Kassena

PF0479-C	Ghana	Kassena

PF0480-C	Ghana	Kassena

PF0482-C	Ghana	Kassena

PF0484-C	Ghana	Kassena

PF0485-C	Ghana	Kassena

PF0486-C	Ghana	Kassena

PF0487-C	Ghana	Kassena

PF0488-C	Ghana	Kassena

PF0489-C	Ghana	Kassena

PF0491-C	Ghana	Kassena

PF0492-C	Ghana	Kassena

PF0493-C	Ghana	Kassena

PF0494-C	Ghana	Kassena

PF0499-C	Ghana	Kassena

PF0502-C	Ghana	Kassena

PF0504-C	Ghana	Kassena

PF0507-C	Ghana	Kassena

PF0510-C	Ghana	Kassena

PF0511-C	Ghana	Kassena

PF0512-C	Ghana	Kassena

PF0513-C	Ghana	Kassena

PF0514-C	Ghana	Kassena

PF0515-C	Ghana	Kassena

PF0518-C	Ghana	Kassena

PF0519-C	Ghana	Kassena

PF0522-C	Ghana	Kassena

PF0524-C	Ghana	Kassena

PF0525-C	Ghana	Kassena

PF0529-C	Ghana	Kassena

PF0531-C	Ghana	Kassena

PF0539-C	Ghana	Kassena

PF0542-C	Ghana	Kassena

PF0550-C	Ghana	Kintampo

PF0550-Cx	Ghana	Kintampo

PF0554-C	Ghana	Kintampo

PF0554-Cx	Ghana	Kintampo

PF0556-C	Ghana	Kintampo

PF0556-Cx	Ghana	Kintampo

PF0557-C	Ghana	Kintampo

PF0557-Cx	Ghana	Kintampo

PF0559-C	Ghana	Kintampo

PF0559-Cx	Ghana	Kintampo

PF0560-C	Ghana	Kintampo

PF0560-Cx	Ghana	Kintampo

PF0562-C	Ghana	Kintampo

PF0562-Cx	Ghana	Kintampo

PF0578-C	Ghana	Kintampo

